severity,id,category,location,issue,risk,fix
CRITICAL,C-001,Edge Function Auth,supabase/functions/generate-content-pack/index.ts,No authentication check — fully open public endpoint,Any unauthenticated user can trigger AI generation and consume OpenAI API credits,Add JWT verification and admin role check via get_access_state() RPC
CRITICAL,C-002,RLS Missing Policy,internal.cron_secrets + internal.cron_config,RLS enabled but zero policies — table is inaccessible to all roles including service_role,Pipeline cron jobs that read/write these tables will fail silently with permission denied,Add explicit TO service_role ALL policy on both tables
CRITICAL,C-003,RLS Misconfiguration,admin.pipeline_logs,Policy uses USING(true) on authenticated role — all logged-in users can read pipeline logs,Exposes internal pipeline execution details to any authenticated user,Replace with admin-only policy using get_access_state() check
HIGH,H-001,RLS Misconfiguration,admin.snapshots,Policy named 'admin-only' but USING(true) on authenticated role gives all users read access,Any authenticated user can read market/ranking snapshots,Replace USING(true) with admin uid check
HIGH,H-002,RLS Write Abuse,public.start_sit_decisions,Old anon INSERT policy still active alongside new authenticated-only policy,Anonymous users can still insert records — table flooding risk,DROP POLICY "Anyone can insert start_sit decisions" ON public.start_sit_decisions
HIGH,H-003,RLS Duplicate,public.system_state,Multiple redundant service_role ALL policies causing policy bloat,No direct security risk but policy confusion may mask future misconfigurations,Drop duplicate service_role policies leaving single canonical one
HIGH,H-004,RLS Duplicate,afl.player_prices,Multiple redundant service_role ALL policies on player_prices table,Policy bloat — risk of confusion and future misconfiguration,Drop duplicate service_role policies leaving single canonical one
HIGH,H-005,RLS Duplicate,public.start_sit_decisions,Multiple overlapping service_role policies,Policy bloat and potential for conflicting access grants,Consolidate to single service_role ALL policy
HIGH,H-006,RLS Missing Policy,afl.player_signals + afl.player_signal_summary,No service_role write policy — pipeline cannot write signal data,Signal generation pipeline will fail with permission denied on writes,Add TO service_role ALL policy on both tables
HIGH,H-007,RLS Misconfiguration,public.weekly_plans_cache,Service_role policy is SELECT-only — blocks pipeline INSERT/UPDATE operations,Pipeline cannot write weekly plan cache — silent data staleness,Change service_role policy from SELECT to ALL (USING+WITH CHECK)
HIGH,H-008,RLS Anti-Pattern,public.ai_rankings_player_recos,Policy named 'Service role full access' but applies to authenticated role not service_role,Misleading naming masks the fact service_role has no explicit write grant,Rename policy and add explicit TO service_role ALL policy
MEDIUM,M-001,Error Leakage,supabase/functions/generate-content-post/index.ts,Raw error.message returned to client in catch block (~line 619),Internal error details (DB schema/table names/stack traces) exposed to callers,Wrap in generic "Internal server error" response; log detail server-side only
MEDIUM,M-002,Error Leakage,supabase/functions/generate-ai-worker/index.ts,Raw error.message returned to client,Internal AI pipeline details exposed to callers,Return generic error; log detail internally
MEDIUM,M-003,Error Leakage,supabase/functions/afl-master-dispatcher/index.ts,Raw error.message returned to client,Internal dispatcher state exposed,Return generic error response
MEDIUM,M-004,Error Leakage,supabase/functions/generate-player-ai/index.ts,Raw error.message returned to client,Internal player AI pipeline details exposed,Return generic error response
MEDIUM,M-005,Error Leakage,supabase/functions/pipeline-alerts/index.ts,Raw error.message returned to client,Internal alert system details exposed,Return generic error response
MEDIUM,M-006,Analytics Write Abuse,public.analytics_events,Anonymous INSERT open — fake analytics injection possible,Attacker can flood analytics with fake events skewing product metrics,Rate-limit inserts or restrict to authenticated users only
MEDIUM,M-007,RLS Anti-Pattern,public.profiles,Policy uses auth.role()='service_role' on public role — anti-pattern that silently fails,Service role writes to profiles may fail; broken policy gives false security impression,Replace with TO service_role policy pattern
MEDIUM,M-008,Cron Security,pg_cron job 173,One cron job runs every 5 minutes 24/7 with no time-window guard,Unnecessary DB load during off-hours; expands attack surface for runaway jobs,Add AEDT business-hours guard or reduce to hourly during off-peak
MEDIUM,M-009,Schema Access,net schema (pg_net),_http_response and http_request_queue tables have RLS disabled,Any DB user can inspect outbound HTTP requests made by the application,REVOKE ALL ON SCHEMA net FROM anon; REVOKE ALL ON SCHEMA net FROM authenticated
